COM CODE,NUMBER,time
21470,1175 MATH F312,M W F 9
21470,1592 MATH F312,S 1
21471,1176 MATH F313,T TH S 2
21471,1593 MATH F313,TH 10
21478,1736 MATH F354,T 10 11 TH 11
21882,1280 MATH F420,M W F 5
22191,1304 MATH F424,M W F 7
21476,1177 MATH F471,M W F 10
22133,1300 MATH F492,M W F 10
21013,1061 ME F110,M W 4 5
21013,1386 ME F110,M W 7 8
21013,1387 ME F110,T TH 2 3
21013,1388 ME F110,T TH 4 5
21013,1389 ME F110,W 2 3 F 4 5
21013,1390 ME F110,F 7 8 S 4 5
21083,1077 ME F211,T TH 3 F 2
21083,1450 ME F211,T 1
21082,1076 ME F212,T TH S 4
21082,1449 ME F212,M 1
21081,1075 ME F213,M W 2
21081,1448 ME F213,S 3
21084,1078 ME F214,M W F 3
21084,1451 ME F214,F 1
21265,1135 ME F243,M W 4
21265,1531 ME F243,F 4
21265,1529 ME F243,T 8 9
21265,1530 ME F243,TH 8 9
21281,1139 ME F420,T TH S 5
21810,1274 ME F423,M W 4 T 7
22309,1737 ME F424,M W F 10
21284,1140 ME F443,T 1 TH S 2
20741,1039 ME G511,M W F 5
20322,1020 ME G512,M W 4 T 7
20410,1025 ME G515,T F 10 11
22079,1293 ME G535,W 9 10 F 9
20742,1040 MEL G611,T 2 TH 2 3
20743,1041 MEL G621,W F S 2
22063,1292 MEL G622,M W F 8
20500,1028 MEL G623,M W F 3
20932,1052 MEL G625,T TH 10 11
20606,1035 MEL G626,M W F 2
20744,1042 MEL G631,T TH S 5
21418,1164 MF F421,T 3 TH 7 8
20766,1047 MST G511,W F 8 TH 7
21014,1062 PHY F110,M 2 3
21014,1395 PHY F110,M 4 5
21014,1396 PHY F110,T 4 5
21014,1397 PHY F110,T 7 8
21014,1398 PHY F110,W 2 3
21014,1399 PHY F110,W 8 9
21014,1063 PHY F110,TH 2 3
21014,1400 PHY F110,TH 4 5
21014,1401 PHY F110,TH 7 8
21014,1391 PHY F110,F 4 5
21014,1392 PHY F110,F 8 9
21014,1393 PHY F110,S 2 3
21014,1394 PHY F110,S 4 5
21015,1064 PHY F111,M W 2
21015,1064 PHY F111,W 1 F 2
